#RPLIDAR SCAN DATA
#COUNT=770
#Angule	Distance	Quality
356.3855 299.0 188
356.8085 298.0 188
357.2314 298.0 188
357.6709 298.0 188
358.0884 298.0 188
358.5114 298.0 188
358.9508 298.0 188
359.3738 298.0 188
359.8077 298.0 188
0.2307 298.0 188
0.6537 299.0 188
1.0931 299.0 188
1.5106 299.0 188
1.9336 299.0 188
2.3730 299.0 188
2.7960 299.0 188
3.1696 300.0 188
3.5925 300.0 188
4.0265 300.0 188
4.4495 300.0 188
4.8724 300.0 188
5.3119 300.0 188
5.7294 301.0 188
6.1523 301.0 188
6.5918 302.0 188
7.0148 302.0 188
7.4323 303.0 188
7.8717 303.0 188
8.2343 304.0 188
8.6682 305.0 188
9.0912 305.0 188
9.5142 306.0 188
9.9481 307.0 188
10.3107 308.0 188
10.7446 310.0 188
11.1676 311.0 188
11.5466 312.0 188
11.9641 312.0 188
12.3871 313.0 188
12.8265 315.0 188
13.1836 316.0 188
13.6230 316.0 188
14.0460 316.0 188
14.4635 317.0 188
14.9030 318.0 188
15.3259 318.0 188
15.6995 320.0 188
16.1224 321.0 188
16.5454 321.0 188
16.9794 322.0 188
17.4023 323.0 188
17.7759 324.0 188
18.1989 325.0 188
18.6218 326.0 188
19.0613 327.0 188
19.4183 328.0 188
19.8578 329.0 188
20.2808 331.0 188
20.6982 332.0 188
21.0773 333.0 188
21.4948 334.0 188
21.9342 335.0 188
22.3572 336.0 188
22.7307 337.0 188
23.2141 335.0 188
23.7030 330.0 188
25.8234 332.0 188
26.2463 328.0 188
26.7297 324.0 188
27.2186 322.0 188
27.7020 319.0 188
28.1250 316.0 188
28.6084 313.0 188
29.0918 310.0 188
29.5148 308.0 188
29.9982 305.0 188
30.4816 301.0 188
30.9650 297.0 188
31.4484 295.0 188
31.9373 292.0 188
34.0906 266.0 188
34.5740 262.0 188
35.1068 257.0 188
35.5902 254.0 188
36.1230 249.0 188
36.6669 245.0 188
37.1558 242.0 188
37.6392 239.0 188
38.1665 236.0 188
38.6554 233.0 188
39.1388 230.0 188
39.6716 227.0 188
40.1550 224.0 188
40.6989 221.0 188
41.1823 218.0 188
41.7151 215.0 188
42.1985 213.0 188
42.7478 210.0 188
43.2147 208.0 188
43.6981 206.0 188
44.1870 204.0 188
44.6704 202.0 188
45.1538 200.0 188
45.7031 198.0 188
46.1700 196.0 188
46.6534 194.0 188
47.2028 191.0 188
47.6862 190.0 188
48.1696 188.0 188
48.7024 186.0 188
49.1858 184.0 188
49.7296 182.0 188
50.2185 180.0 188
50.7458 178.0 188
51.1853 177.0 188
51.7181 175.0 188
52.2620 173.0 188
52.6849 172.0 188
53.2343 170.0 188
53.7177 169.0 188
54.2450 167.0 188
54.6844 167.0 188
55.2173 165.0 188
55.7007 163.0 188
56.1841 162.0 188
56.6675 161.0 188
57.1509 160.0 188
57.6398 159.0 188
58.0737 159.0 188
58.5571 158.0 188
59.0460 157.0 188
59.4635 157.0 188
59.9524 156.0 188
60.3864 156.0 188
60.8698 155.0 188
61.2927 155.0 188
61.7761 154.0 188
62.2650 153.0 188
62.6825 153.0 188
63.1219 153.0 188
63.6053 152.0 188
64.0283 152.0 188
64.5117 151.0 188
64.9951 150.0 188
65.4346 150.0 188
65.9674 149.0 188
66.4014 149.0 188
66.8243 149.0 188
67.3077 148.0 188
67.7307 148.0 188
68.1702 148.0 188
68.5931 148.0 188
69.0765 147.0 188
69.5105 147.0 188
69.9335 147.0 188
70.4169 146.0 188
70.8398 146.0 188
71.2793 146.0 188
71.7023 146.0 188
72.1362 146.0 188
72.5592 146.0 188
72.9822 146.0 188
73.4656 145.0 188
73.9050 145.0 188
74.3280 145.0 188
74.7620 145.0 188
75.1849 145.0 188
75.6079 145.0 188
76.0419 145.0 188
76.4648 145.0 188
76.9043 145.0 188
77.3273 145.0 188
77.7448 145.0 188
78.1842 145.0 188
78.6072 145.0 188
79.0906 144.0 188
79.5135 144.0 188
79.9530 144.0 188
80.3705 144.0 188
80.8099 144.0 188
81.1670 145.0 188
81.5460 146.0 188
82.0294 145.0 188
82.4634 145.0 188
82.8864 145.0 188
83.3093 145.0 188
83.7488 145.0 188
84.1223 146.0 188
84.5453 146.0 188
84.9683 146.0 188
85.4022 146.0 188
85.8252 146.0 188
86.2646 146.0 188
86.6821 146.0 188
87.1051 146.0 188
87.5446 146.0 188
87.9675 146.0 188
88.3411 147.0 188
88.7146 148.0 188
89.1376 148.0 188
89.5770 148.0 188
90.0000 148.0 188
90.4834 147.0 188
90.8569 148.0 188
91.2799 148.0 188
91.7139 148.0 188
92.1368 148.0 188
92.5598 148.0 188
92.9993 148.0 188
93.3728 149.0 188
93.7958 149.0 188
94.2792 148.0 188
94.7021 148.0 188
95.0757 149.0 188
95.5151 149.0 188
95.9326 149.0 188
96.3556 149.0 188
96.7950 149.0 188
97.2180 149.0 188
97.6355 149.0 188
98.0750 149.0 188
98.4979 149.0 188
98.9374 149.0 188
99.3549 149.0 188
99.6680 150.0 188
100.1074 150.0 188
100.5304 150.0 188
100.9479 150.0 188
101.3873 150.0 188
101.8103 150.0 188
102.1838 151.0 188
102.6068 151.0 188
103.0463 151.0 188
103.4637 151.0 188
103.9032 151.0 188
104.2603 152.0 188
104.6997 152.0 188
105.1227 152.0 188
105.4962 153.0 188
105.9192 153.0 188
106.3586 153.0 188
106.7322 154.0 188
107.0892 155.0 188
107.5287 155.0 188
107.9517 155.0 188
108.3856 155.0 188
108.7482 156.0 188
109.1217 157.0 188
109.5447 157.0 188
109.9841 157.0 188
110.4016 157.0 188
110.8411 157.0 188
111.1981 158.0 188
111.6376 158.0 188
112.0605 158.0 188
112.4341 159.0 188
112.8076 160.0 188
113.1866 161.0 188
113.6041 161.0 188
113.9832 162.0 188
114.4061 162.0 188
114.7797 163.0 188
115.1532 164.0 188
115.5762 165.0 188
115.9497 166.0 188
116.3232 167.0 188
116.7023 168.0 188
117.0593 169.0 188
117.4988 169.0 188
117.8723 170.0 188
118.2294 171.0 188
118.6084 172.0 188
118.9819 174.0 188
119.3555 175.0 188
119.7784 175.0 188
120.1520 176.0 188
120.5310 177.0 188
120.9485 178.0 188
121.3879 178.0 188
121.7450 179.0 188
122.1844 179.0 188
122.5580 180.0 188
122.9205 181.0 188
123.3545 181.0 188
123.7775 182.0 188
124.1510 183.0 188
124.5300 184.0 188
124.9036 185.0 188
125.3265 186.0 188
125.7001 187.0 188
126.0736 188.0 188
126.4966 189.0 188
126.8701 190.0 188
127.2491 191.0 188
127.6666 192.0 188
128.0457 193.0 188
128.4192 194.0 188
128.8422 195.0 188
129.2157 196.0 188
129.6387 196.0 188
130.0122 197.0 188
130.4352 198.0 188
130.8087 199.0 188
131.1823 200.0 188
131.6052 201.0 188
131.9843 202.0 188
132.4182 203.0 188
132.7917 204.0 188
133.1543 205.0 188
133.5938 206.0 188
133.9673 207.0 188
134.3903 208.0 188
134.7638 209.0 188
135.1868 210.0 188
135.4999 212.0 188
135.9338 213.0 188
136.3568 213.0 188
136.7303 215.0 188
137.1094 216.0 188
137.5269 217.0 188
137.9059 219.0 188
138.2794 221.0 188
138.6530 222.0 188
139.0759 223.0 188
139.4495 225.0 188
139.8230 226.0 188
140.2020 228.0 188
140.9985 231.0 188
141.3116 235.0 188
141.7456 236.0 188
142.0587 239.0 188
142.4817 241.0 188
142.8552 243.0 188
143.2343 244.0 188
143.6078 246.0 188
144.0308 248.0 188
144.4043 250.0 188
144.7778 252.0 188
145.1514 255.0 188
145.5139 257.0 188
146.3269 260.0 188
146.6840 264.0 188
147.4365 268.0 188
147.8101 273.0 188
148.1836 276.0 188
148.4967 280.0 188
148.8702 283.0 188
149.2493 286.0 188
149.6667 289.0 188
150.0458 292.0 188
150.3589 297.0 188
150.7324 301.0 188
151.1060 304.0 188
152.6550 319.0 188
153.6218 310.0 188
154.0448 309.0 188
154.4843 308.0 188
154.9512 307.0 188
155.3906 306.0 188
155.8081 305.0 188
156.2476 304.0 188
156.6705 304.0 188
157.1539 303.0 188
157.5769 301.0 188
158.0109 300.0 188
158.4998 299.0 188
158.8733 300.0 188
159.3567 299.0 188
159.7797 298.0 188
160.2026 297.0 188
160.6366 297.0 188
161.4990 298.0 188
165.0916 286.0 188
165.5145 288.0 188
165.9485 288.0 188
166.3715 288.0 188
166.7944 288.0 188
167.2339 287.0 188
167.6514 287.0 188
168.0908 286.0 188
168.5742 285.0 188
168.9972 285.0 188
169.4202 285.0 188
169.7937 286.0 188
170.2771 285.0 188
170.7001 284.0 188
171.1395 284.0 188
171.5625 283.0 188
171.9965 283.0 188
172.4799 282.0 188
172.9523 278.0 188
173.4357 274.0 188
173.9795 269.0 188
174.4684 265.0 188
174.9957 260.0 188
178.3905 313.0 188
178.8739 310.0 188
179.3573 304.0 188
179.8901 299.0 188
180.3735 295.0 188
180.8569 292.0 188
181.3403 288.0 188
181.8237 285.0 188
182.2632 283.0 188
182.6862 283.0 188
183.1091 283.0 188
183.5431 283.0 188
183.9661 283.0 188
184.3890 284.0 188
184.8230 284.0 188
185.2460 284.0 188
185.6854 285.0 188
186.1084 285.0 188
186.5259 285.0 188
186.9049 286.0 188
187.3389 286.0 188
187.7618 287.0 188
188.1848 287.0 188
188.6243 288.0 188
189.0417 288.0 188
189.4647 288.0 188
189.9042 289.0 188
190.3271 289.0 188
190.7007 290.0 188
191.1237 290.0 188
191.5576 291.0 188
191.9806 291.0 188
192.4036 292.0 188
192.7771 293.0 188
193.2166 293.0 188
193.6395 294.0 188
194.4965 295.0 188
194.9194 296.0 188
195.7764 296.0 188
196.1554 297.0 188
196.5729 298.0 188
196.9958 299.0 188
197.4353 299.0 188
197.8088 300.0 188
198.2318 301.0 188
198.6548 302.0 188
199.0887 303.0 188
199.4678 304.0 188
199.8853 305.0 188
200.3082 306.0 188
200.7477 307.0 188
201.1047 308.0 188
201.5442 310.0 188
201.9177 312.0 188
202.3407 313.0 188
202.7637 314.0 188
203.2031 315.0 188
203.5767 316.0 188
203.9996 317.0 188
204.4171 319.0 188
204.7961 320.0 188
205.2136 321.0 188
205.6531 322.0 188
206.0760 323.0 188
206.4496 324.0 188
206.8726 325.0 188
207.3120 325.0 188
207.6855 328.0 188
208.1085 330.0 188
208.5260 328.0 188
209.0149 326.0 188
209.3884 328.0 188
209.8718 326.0 188
210.3552 320.0 188
210.8881 314.0 188
211.3715 310.0 188
211.8549 306.0 188
212.3438 300.0 188
212.8876 295.0 188
213.3710 291.0 188
213.8544 288.0 188
214.3433 284.0 188
214.8267 280.0 188
215.3540 276.0 188
215.8429 273.0 188
216.3263 270.0 188
216.7603 268.0 188
217.2931 264.0 188
217.7765 260.0 188
218.2654 257.0 188
218.7488 254.0 188
219.2322 252.0 188
219.6552 251.0 188
220.0891 252.0 188
235.9039 181.0 188
236.3873 180.0 188
236.8707 179.0 188
237.3541 178.0 188
237.7936 177.0 188
238.2770 176.0 188
238.8098 174.0 188
239.2493 174.0 188
239.7327 172.0 188
240.2161 171.0 188
240.6995 170.0 188
241.1829 169.0 188
241.6058 169.0 188
242.0892 168.0 188
242.5781 167.0 188
243.0615 166.0 188
243.5449 165.0 188
243.9679 164.0 188
244.4019 164.0 188
244.8853 163.0 188
245.3741 162.0 188
245.8575 161.0 188
246.2805 161.0 188
246.7639 160.0 188
247.1869 160.0 188
247.6703 159.0 188
248.1537 158.0 188
248.5931 158.0 188
249.0106 158.0 188
249.4995 157.0 188
249.9170 157.0 188
250.3564 157.0 188
250.7794 157.0 188
251.2628 156.0 188
251.7023 156.0 188
252.1857 155.0 188
252.6086 155.0 188
253.0261 155.0 188
253.4656 155.0 188
253.8885 155.0 188
254.3719 154.0 188
254.7949 154.0 188
255.2344 154.0 188
255.6519 154.0 188
256.0913 154.0 188
256.5143 154.0 188
256.9977 153.0 188
257.4371 153.0 188
257.8546 153.0 188
258.2941 153.0 188
258.7170 153.0 188
259.2004 152.0 188
259.5740 153.0 188
260.0574 152.0 188
260.4968 152.0 188
260.9198 152.0 188
261.3593 152.0 188
261.7767 152.0 188
262.2162 152.0 188
262.6392 152.0 188
263.0731 152.0 188
263.4961 152.0 188
263.9355 152.0 188
264.3585 152.0 188
264.7925 152.0 188
265.2155 152.0 188
265.6549 152.0 188
266.0779 152.0 188
266.4954 152.0 188
266.9348 152.0 188
267.3578 152.0 188
267.7917 152.0 188
268.2147 152.0 188
268.6542 152.0 188
269.0771 152.0 188
269.4507 153.0 188
269.8901 153.0 188
270.2637 154.0 188
270.6866 154.0 188
271.1206 154.0 188
271.5436 154.0 188
271.9666 154.0 188
272.4060 154.0 188
272.8235 154.0 188
273.2629 154.0 188
273.6365 155.0 188
274.0594 155.0 188
274.4989 155.0 188
274.9219 155.0 188
275.3558 155.0 188
275.7788 155.0 188
276.2183 155.0 188
276.6357 155.0 188
277.0752 155.0 188
277.4487 156.0 188
277.8717 156.0 188
278.2947 156.0 188
278.7341 156.0 188
279.1516 156.0 188
279.5911 156.0 188
279.9646 157.0 188
280.3876 157.0 188
280.8270 157.0 188
281.2500 157.0 188
281.6840 157.0 188
282.1069 157.0 188
282.4805 158.0 188
282.9034 158.0 188
283.3429 158.0 188
283.7604 158.0 188
284.1394 159.0 188
284.5734 159.0 188
284.9963 159.0 188
285.4358 159.0 188
285.8588 159.0 188
286.2323 160.0 188
286.6718 160.0 188
287.0892 160.0 188
287.5287 160.0 188
287.8857 161.0 188
288.2648 162.0 188
288.6987 162.0 188
289.1217 162.0 188
289.5612 162.0 188
289.9347 163.0 188
290.3577 163.0 188
290.7312 164.0 188
291.1542 164.0 188
291.5936 165.0 188
291.9672 166.0 188
292.3407 167.0 188
292.7637 167.0 188
293.1372 168.0 188
293.5767 168.0 188
293.9996 168.0 188
294.3732 169.0 188
294.7467 170.0 188
295.1697 170.0 188
295.5432 171.0 188
295.9167 172.0 188
296.3397 173.0 188
296.7188 174.0 188
297.0923 175.0 188
297.5153 175.0 188
297.8888 176.0 188
298.2623 177.0 188
298.6853 177.0 188
299.1248 178.0 188
299.4983 179.0 188
299.8553 180.0 188
300.2344 181.0 188
300.6683 182.0 188
301.0913 182.0 188
301.4648 183.0 188
301.8274 184.0 188
302.2009 185.0 188
302.6404 186.0 188
302.9974 187.0 188
303.3710 188.0 188
303.8104 189.0 188
304.1675 190.0 188
304.5465 191.0 188
304.9805 192.0 188
305.3430 193.0 188
305.7166 194.0 188
306.1560 195.0 188
306.4636 197.0 188
306.8866 198.0 188
307.2656 199.0 188
307.6392 200.0 188
308.0621 201.0 188
308.4357 203.0 188
308.8092 204.0 188
309.1827 206.0 188
309.5453 207.0 188
309.9792 208.0 188
310.3583 210.0 188
310.6714 212.0 188
311.0889 212.0 188
311.5283 213.0 188
311.8854 214.0 188
312.2644 216.0 188
312.6984 217.0 188
313.0609 218.0 188
313.4344 220.0 188
313.8574 221.0 188
314.2310 222.0 188
314.6045 224.0 188
315.0439 225.0 188
315.4010 227.0 188
315.7800 228.0 188
316.1536 230.0 188
316.5271 232.0 188
316.9501 233.0 188
317.3236 235.0 188
317.7026 237.0 188
318.1201 238.0 188
318.4991 240.0 188
318.8727 242.0 188
319.2462 244.0 188
319.6088 246.0 188
320.0427 247.0 188
320.4657 248.0 188
320.8392 250.0 188
321.2183 252.0 188
321.6357 253.0 188
322.0148 254.0 188
322.4323 256.0 188
322.8113 257.0 188
323.1848 259.0 188
323.6078 261.0 188
323.9813 262.0 188
324.4043 264.0 188
324.7778 266.0 188
325.1514 268.0 188
325.5743 270.0 188
325.9479 272.0 188
326.3269 274.0 188
326.7004 277.0 188
327.1234 279.0 188
327.4969 281.0 188
327.8705 284.0 188
328.2495 287.0 188
328.6670 289.0 188
329.0460 291.0 188
329.4196 293.0 188
329.8425 296.0 188
330.2161 299.0 188
330.5896 302.0 188
330.9686 305.0 188
331.3861 307.0 188
331.7651 309.0 188
332.1387 313.0 188
332.4957 316.0 188
332.9352 319.0 188
333.3087 323.0 188
334.5282 327.0 188
336.9836 333.0 188
337.4670 331.0 188
337.8900 329.0 188
338.3734 327.0 188
338.7964 326.0 188
339.2303 324.0 188
339.7028 322.0 188
340.1367 321.0 188
340.6201 319.0 188
341.0431 317.0 188
341.4661 316.0 188
341.9495 314.0 188
342.3724 313.0 188
342.8558 311.0 188
343.2953 310.0 188
343.7183 309.0 188
344.1357 308.0 188
344.5752 308.0 188
345.0586 307.0 188
345.4816 307.0 188
345.9045 306.0 188
346.3385 305.0 188
346.7615 305.0 188
347.1844 304.0 188
347.6239 304.0 188
348.0908 303.0 188
348.5303 303.0 188
348.9478 302.0 188
349.3707 302.0 188
349.8102 301.0 188
350.2332 301.0 188
350.6561 301.0 188
351.0901 301.0 188
351.5131 300.0 188
351.9360 300.0 188
352.3700 300.0 188
352.8589 299.0 188
353.2159 300.0 188
353.6993 299.0 188
354.1223 299.0 188
354.5618 299.0 188
354.9792 299.0 188
355.4022 299.0 188
355.8417 298.0 188
