#RPLIDAR SCAN DATA
#COUNT=3145
#Angule	Distance	Quality
356.4954 299.0 188
356.5887 299.0 188
356.6821 299.0 188
356.7810 298.0 188
356.8744 298.0 188
356.9678 298.0 188
357.0447 298.0 188
357.1381 299.0 188
357.2314 299.0 188
357.3248 299.0 188
357.4182 298.0 188
357.5116 298.0 188
357.6050 298.0 188
357.6984 299.0 188
357.7917 298.0 188
357.8906 298.0 188
357.9840 298.0 188
358.0609 299.0 188
358.1543 299.0 188
358.2477 299.0 188
358.3411 298.0 188
358.4344 298.0 188
358.5278 299.0 188
358.6212 299.0 188
358.7146 298.0 188
358.8080 299.0 188
358.9014 299.0 188
358.9948 298.0 188
359.0771 298.0 188
359.1705 299.0 188
359.2639 299.0 188
359.3573 299.0 188
359.4507 299.0 188
359.5441 299.0 188
359.6375 299.0 188
359.7308 298.0 188
359.8242 298.0 188
359.9176 298.0 188
0.0000 298.0 188
0.0934 298.0 188
0.1868 298.0 188
0.2802 298.0 188
0.3735 298.0 188
0.4669 298.0 188
0.5603 299.0 188
0.6537 299.0 188
0.7471 299.0 188
0.8405 299.0 188
0.9338 299.0 188
1.0107 299.0 188
1.1041 299.0 188
1.2030 299.0 188
1.2964 299.0 188
1.3898 298.0 188
1.4832 298.0 188
1.5765 299.0 188
1.6699 299.0 188
1.7633 299.0 188
1.8567 299.0 188
1.9501 299.0 188
2.0270 299.0 188
2.1204 299.0 188
2.2137 299.0 188
2.3071 299.0 188
2.4060 299.0 188
2.4994 299.0 188
2.5928 299.0 188
2.6862 299.0 188
2.7795 299.0 188
2.8729 299.0 188
2.9498 299.0 188
3.0432 299.0 188
3.1366 299.0 188
3.2300 299.0 188
3.3234 299.0 188
3.3563 300.0 188
3.4497 300.0 188
3.5431 300.0 188
3.6365 300.0 188
3.7958 299.0 188
3.8892 299.0 188
3.9166 300.0 188
4.0155 300.0 188
4.1089 300.0 188
4.2023 300.0 188
4.2792 300.0 188
4.3726 300.0 188
4.4659 300.0 188
4.5593 300.0 188
4.6527 300.0 188
4.7461 300.0 188
4.8395 300.0 188
4.9329 300.0 188
5.0262 300.0 188
5.1086 300.0 188
5.2020 300.0 188
5.2954 300.0 188
5.3888 301.0 188
5.4822 301.0 188
5.5756 301.0 188
5.6689 301.0 188
5.7623 301.0 188
5.8557 301.0 188
5.9491 301.0 188
6.0260 301.0 188
6.1249 301.0 188
6.2183 301.0 188
6.3116 301.0 188
6.4050 301.0 188
6.4984 302.0 188
6.5918 302.0 188
6.6852 302.0 188
6.7786 302.0 188
6.8555 302.0 188
6.9489 303.0 188
7.0422 303.0 188
7.1356 303.0 188
7.2290 302.0 188
7.3279 302.0 188
7.4213 302.0 188
7.5146 303.0 188
7.6080 303.0 188
7.7014 303.0 188
7.7783 303.0 188
7.8717 303.0 188
7.9651 303.0 188
8.0585 303.0 188
8.0914 304.0 188
8.2452 303.0 188
8.3386 303.0 188
8.4375 303.0 188
8.4650 304.0 188
8.5583 304.0 188
8.6517 305.0 188
8.7451 304.0 188
8.8385 304.0 188
8.9374 304.0 188
9.0143 306.0 188
9.1077 306.0 188
9.2010 306.0 188
9.2944 306.0 188
9.3878 305.0 188
9.4812 306.0 188
9.5746 306.0 188
9.6680 306.0 188
9.7614 306.0 188
9.8438 306.0 188
9.9371 307.0 188
10.0305 307.0 188
10.1239 307.0 188
10.1678 308.0 188
10.2448 308.0 188
10.3436 309.0 188
10.4370 309.0 188
10.5304 308.0 188
10.6238 308.0 188
10.7172 308.0 188
10.9973 309.0 188
11.0742 310.0 188
11.1676 310.0 188
11.2610 311.0 188
11.3544 311.0 188
11.4478 311.0 188
11.5466 311.0 188
11.6400 311.0 188
11.7334 311.0 188
11.7609 312.0 188
11.8542 312.0 188
11.9531 312.0 188
12.0465 312.0 188
12.3102 313.0 188
12.4036 313.0 188
12.4969 314.0 188
12.5739 314.0 188
12.6672 313.0 188
12.7606 313.0 188
12.8540 314.0 188
12.9364 315.0 188
13.0298 314.0 188
13.1232 315.0 188
13.2166 315.0 188
13.2495 316.0 188
13.3429 316.0 188
13.4198 316.0 188
13.5132 316.0 188
13.6066 316.0 188
13.7000 316.0 188
13.7933 316.0 188
13.8702 316.0 188
13.9636 316.0 188
14.0625 316.0 188
14.1559 317.0 188
14.2328 317.0 188
14.3262 317.0 188
14.4196 317.0 188
14.5129 317.0 188
14.6063 317.0 188
14.6832 318.0 188
14.7766 318.0 188
14.8700 319.0 188
14.9634 319.0 188
15.0458 318.0 188
15.1392 319.0 188
15.2325 319.0 188
15.3259 319.0 188
15.4028 319.0 188
15.4962 319.0 188
15.5896 319.0 188
15.6830 319.0 188
15.7764 319.0 188
15.8588 319.0 188
15.9027 320.0 188
15.9796 320.0 188
16.0730 320.0 188
16.1719 320.0 188
16.2653 321.0 188
16.3422 321.0 188
16.4355 321.0 188
16.5289 321.0 188
16.6223 321.0 188
16.6992 321.0 188
16.7926 321.0 188
16.8860 322.0 188
16.9794 322.0 188
17.0728 323.0 188
17.1552 323.0 188
17.2485 323.0 188
17.3419 323.0 188
17.4353 323.0 188
17.5122 322.0 188
17.6056 322.0 188
17.6990 323.0 188
17.7924 323.0 188
17.8253 324.0 188
17.9187 324.0 188
17.9956 324.0 188
18.0890 325.0 188
18.1824 325.0 188
18.2812 325.0 188
18.3746 325.0 188
18.4515 325.0 188
18.5449 326.0 188
18.6383 327.0 188
18.7317 326.0 188
18.8086 327.0 188
18.9020 327.0 188
18.9954 327.0 188
19.0887 327.0 188
19.1217 328.0 188
19.2151 328.0 188
19.2920 328.0 188
19.3854 328.0 188
19.4843 328.0 188
19.5776 328.0 188
19.6710 329.0 188
19.7479 329.0 188
19.8413 330.0 188
19.9347 330.0 188
20.0281 330.0 188
20.1050 330.0 188
20.1984 331.0 188
20.2917 331.0 188
20.3906 331.0 188
20.4675 331.0 188
20.5609 330.0 188
20.6543 331.0 188
20.7477 332.0 188
20.7806 333.0 188
20.8740 333.0 188
20.9674 333.0 188
21.0608 333.0 188
21.1542 333.0 188
21.2476 334.0 188
21.3245 334.0 188
21.4178 334.0 188
21.5112 333.0 188
21.6046 334.0 188
21.6980 334.0 188
21.7969 335.0 188
21.8903 335.0 188
21.9836 335.0 188
22.0605 336.0 188
22.1539 335.0 188
22.2473 335.0 188
22.3407 336.0 188
22.4341 336.0 188
22.5275 336.0 188
22.6208 336.0 188
22.6538 337.0 188
22.7472 337.0 188
22.8406 337.0 188
22.9175 338.0 188
23.0109 338.0 188
23.1042 338.0 188
23.2031 338.0 188
23.2965 338.0 188
23.4338 336.0 188
23.5272 334.0 188
23.6865 332.0 188
23.7799 330.0 188
23.8568 330.0 188
23.9502 328.0 188
24.1040 327.0 188
24.3732 327.0 188
24.9060 358.0 188
25.0433 354.0 188
25.2026 350.0 188
25.2960 347.0 188
25.4333 343.0 188
25.5927 338.0 188
25.7300 333.0 188
25.8728 332.0 188
25.9662 331.0 188
26.0596 331.0 188
26.1530 330.0 188
26.2463 329.0 188
26.3397 329.0 188
26.4331 328.0 188
26.5759 327.0 188
26.6693 327.0 188
26.7627 326.0 188
26.8561 325.0 188
26.9495 324.0 188
27.0923 323.0 188
27.1857 323.0 188
27.2791 323.0 188
27.3724 323.0 188
27.4493 323.0 188
27.5427 321.0 188
27.6361 320.0 188
27.7954 319.0 188
27.8723 319.0 188
27.9657 318.0 188
28.0591 318.0 188
28.1525 318.0 188
28.2458 317.0 188
28.3392 316.0 188
28.4326 316.0 188
28.5754 315.0 188
28.6688 315.0 188
28.7622 314.0 188
28.8556 313.0 188
28.9490 313.0 188
29.0259 313.0 188
29.1852 311.0 188
29.2786 310.0 188
29.3719 311.0 188
29.4489 311.0 188
29.5422 310.0 188
29.6356 310.0 188
29.7290 310.0 188
29.8279 311.0 188
29.9213 310.0 188
30.0146 308.0 188
30.1520 306.0 188
30.2454 305.0 188
30.3387 304.0 188
30.4321 304.0 188
30.5750 303.0 188
30.6683 301.0 188
30.7617 301.0 188
30.8551 301.0 188
30.9375 300.0 188
31.0913 299.0 188
31.1847 298.0 188
31.3275 296.0 188
31.4209 296.0 188
31.5143 295.0 188
31.6077 295.0 188
31.7010 295.0 188
31.7780 296.0 188
31.8713 296.0 188
31.9647 296.0 188
32.0581 294.0 188
32.2009 291.0 188
32.2943 291.0 188
32.3877 291.0 188
32.5415 288.0 188
32.6843 285.0 188
32.7777 283.0 188
33.0139 280.0 188
33.2446 277.0 188
33.4039 274.0 188
33.5468 272.0 188
33.7006 270.0 188
33.7775 268.0 188
33.9368 267.0 188
34.0302 267.0 188
34.0576 268.0 188
34.1510 268.0 188
34.2499 268.0 188
34.3872 267.0 188
34.4806 265.0 188
34.6234 263.0 188
34.7168 262.0 188
34.8102 262.0 188
34.9640 261.0 188
35.0464 261.0 188
35.1398 259.0 188
35.2936 258.0 188
35.3870 257.0 188
35.5298 255.0 188
35.6232 254.0 188
35.7166 254.0 188
35.8594 253.0 188
35.9528 252.0 188
36.0461 252.0 188
36.1395 252.0 188
36.2329 252.0 188
36.3098 251.0 188
36.4636 249.0 188
36.6998 247.0 188
36.7932 246.0 188
36.8866 246.0 188
37.0294 245.0 188
37.1228 244.0 188
37.2162 244.0 188
37.3590 243.0 188
37.5128 241.0 188
37.6062 241.0 188
37.6996 241.0 188
37.7765 241.0 188
37.8699 241.0 188
37.9688 240.0 188
38.1226 238.0 188
38.2654 236.0 188
38.3588 236.0 188
38.4521 236.0 188
38.5455 235.0 188
38.6224 235.0 188
38.7762 234.0 188
38.8696 234.0 188
38.9685 233.0 188
39.0454 232.0 188
39.1388 232.0 188
39.2926 231.0 188
39.3860 231.0 188
39.5288 229.0 188
39.6222 228.0 188
39.7650 226.0 188
39.8584 226.0 188
39.9518 226.0 188
40.0452 226.0 188
40.1825 225.0 188
40.2759 225.0 188
40.3748 225.0 188
40.5286 223.0 188
40.6055 222.0 188
40.7648 221.0 188
40.8582 221.0 188
40.9515 220.0 188
41.0449 220.0 188
41.1823 219.0 188
41.2811 219.0 188
41.3745 218.0 188
41.4679 218.0 188
41.6052 217.0 188
41.6986 216.0 188
41.8414 215.0 188
41.9348 215.0 188
42.0282 214.0 188
42.1216 214.0 188
42.2150 214.0 188
42.3578 213.0 188
42.4512 213.0 188
42.5446 212.0 188
42.6984 211.0 188
42.7808 211.0 188
42.9346 210.0 188
43.0280 210.0 188
43.1213 210.0 188
43.2147 210.0 188
43.2916 209.0 188
43.4509 208.0 188
43.5443 208.0 188
43.6377 207.0 188
43.7805 206.0 188
43.8739 206.0 188
43.9673 206.0 188
44.0607 205.0 188
44.1541 205.0 188
44.2474 205.0 188
44.3243 205.0 188
44.4836 204.0 188
44.6210 203.0 188
44.7144 202.0 188
44.8077 202.0 188
44.9011 202.0 188
45.0439 201.0 188
45.1373 201.0 188
45.2307 200.0 188
45.3241 200.0 188
45.4175 200.0 188
45.5603 199.0 188
45.6537 199.0 188
45.8075 198.0 188
45.9009 198.0 188
45.9833 197.0 188
46.1371 196.0 188
46.2305 196.0 188
46.3239 196.0 188
46.4667 195.0 188
46.5601 195.0 188
46.6534 195.0 188
46.7468 195.0 188
46.8402 195.0 188
46.9171 194.0 188
47.1368 192.0 188
47.2137 192.0 188
47.3071 191.0 188
47.4060 192.0 188
47.4994 192.0 188
47.5928 191.0 188
47.7301 190.0 188
47.8235 190.0 188
47.9169 190.0 188
48.0103 190.0 188
48.1531 189.0 188
48.2465 188.0 188
48.4058 187.0 188
48.4991 187.0 188
48.5925 187.0 188
48.7299 186.0 188
48.8232 186.0 188
48.9166 185.0 188
49.0155 185.0 188
49.1528 184.0 188
49.2462 184.0 188
49.3396 184.0 188
49.4824 183.0 188
49.5758 183.0 188
49.7296 182.0 188
49.8230 182.0 188
49.9054 182.0 188
49.9988 181.0 188
50.0922 181.0 188
50.2460 180.0 188
50.3394 180.0 188
50.4218 180.0 188
50.5151 180.0 188
50.6085 180.0 188
50.7623 179.0 188
50.8392 179.0 188
50.9985 177.0 188
51.0919 177.0 188
51.1853 177.0 188
51.3281 176.0 188
51.4215 176.0 188
51.5149 176.0 188
51.6522 175.0 188
51.7456 175.0 188
51.8390 175.0 188
51.9324 175.0 188
52.0312 175.0 188
52.1686 174.0 188
52.3114 173.0 188
52.4048 173.0 188
52.4982 173.0 188
52.5916 172.0 188
52.6849 172.0 188
52.7783 172.0 188
52.8717 172.0 188
53.0145 171.0 188
53.1079 171.0 188
53.2013 171.0 188
53.3386 170.0 188
53.4375 170.0 188
53.5913 169.0 188
53.6682 169.0 188
53.7616 169.0 188
53.9209 168.0 188
53.9484 169.0 188
54.0912 168.0 188
54.1846 168.0 188
54.3384 167.0 188
54.4373 167.0 188
54.5142 167.0 188
54.7943 167.0 188
54.9371 166.0 188
55.0305 166.0 188
55.1239 166.0 188
55.2777 165.0 188
55.3546 165.0 188
55.4480 165.0 188
55.5469 164.0 188
55.6403 164.0 188
55.7336 164.0 188
55.8710 163.0 188
55.9644 163.0 188
56.1237 162.0 188
56.2006 162.0 188
56.2939 162.0 188
56.3873 162.0 188
56.5466 161.0 188
56.6235 161.0 188
56.7773 160.0 188
56.8707 160.0 188
56.9641 160.0 188
57.1069 159.0 188
57.3871 159.0 188
57.4640 159.0 188
57.5574 159.0 188
57.6562 159.0 188
57.7496 159.0 188
57.9364 159.0 188
58.1067 159.0 188
58.2001 159.0 188
58.2935 159.0 188
58.3868 159.0 188
58.5297 158.0 188
58.6230 158.0 188
58.7164 158.0 188
58.8098 158.0 188
58.9032 158.0 188
59.0460 157.0 188
59.1394 157.0 188
59.2328 157.0 188
59.3262 157.0 188
59.4196 157.0 188
59.6832 157.0 188
59.7766 157.0 188
59.9359 156.0 188
60.0128 156.0 188
60.1062 156.0 188
60.1996 156.0 188
60.2930 156.0 188
60.3864 156.0 188
60.4797 156.0 188
60.5731 156.0 188
60.7324 155.0 188
60.8258 155.0 188
60.9192 155.0 188
61.0126 155.0 188
61.1060 155.0 188
61.1993 155.0 188
61.2927 155.0 188
61.4355 154.0 188
61.5289 154.0 188
61.6223 154.0 188
61.7157 154.0 188
61.8091 154.0 188
61.9025 154.0 188
61.9958 154.0 188
62.0892 154.0 188
62.1826 154.0 188
62.3254 153.0 188
62.4188 153.0 188
62.5122 153.0 188
62.6056 153.0 188
62.6990 153.0 188
62.7924 153.0 188
62.8857 153.0 188
62.9791 153.0 188
63.0780 153.0 188
63.1714 153.0 188
63.2648 153.0 188
63.3582 153.0 188
63.5120 152.0 188
63.6053 152.0 188
63.6987 152.0 188
63.7921 152.0 188
63.8855 152.0 188
63.9844 152.0 188
64.0778 152.0 188
64.2151 151.0 188
64.3085 151.0 188
64.4019 151.0 188
64.4952 151.0 188
64.5886 151.0 188
64.6875 151.0 188
64.7809 151.0 188
64.8743 151.0 188
64.9677 151.0 188
65.1215 150.0 188
65.2148 150.0 188
65.3082 150.0 188
65.4016 150.0 188
65.4950 150.0 188
65.5884 150.0 188
65.6873 150.0 188
65.7806 150.0 188
65.8740 150.0 188
65.9674 150.0 188
66.1707 149.0 188
66.2640 149.0 188
66.3574 149.0 188
66.4508 149.0 188
66.5442 149.0 188
