#RPLIDAR SCAN DATA
#COUNT=756
#Angule	Distance	Quality
1.0107 149.0 188
1.4502 149.0 188
1.8896 149.0 188
2.3236 149.0 188
2.7631 149.0 188
3.2025 149.0 188
3.6365 149.0 188
4.0759 149.0 188
4.5154 149.0 188
4.9493 149.0 188
5.4053 149.0 188
5.8392 149.0 188
6.1688 150.0 188
6.6083 150.0 188
7.0422 150.0 188
7.4817 150.0 188
7.9211 150.0 188
8.3551 150.0 188
8.7341 151.0 188
9.1681 151.0 188
9.6075 151.0 188
10.0580 151.0 188
10.4974 151.0 188
10.8710 152.0 188
11.3104 152.0 188
11.7499 152.0 188
12.1838 152.0 188
12.5739 153.0 188
13.0133 153.0 188
13.4528 153.0 188
13.8867 153.0 188
14.3262 153.0 188
14.6997 154.0 188
15.1556 154.0 188
15.5896 154.0 188
16.0291 154.0 188
16.4026 155.0 188
16.8420 155.0 188
17.2760 155.0 188
17.6715 156.0 188
18.1055 156.0 188
18.5449 156.0 188
18.9844 156.0 188
19.3579 157.0 188
19.8083 157.0 188
20.2478 157.0 188
20.6873 157.0 188
21.0608 158.0 188
21.4948 158.0 188
22.3242 159.0 188
26.2024 329.0 188
26.7023 325.0 188
27.1857 321.0 188
27.6855 318.0 188
28.1250 316.0 188
28.6249 313.0 188
29.1248 311.0 188
29.5587 308.0 188
30.0586 305.0 188
30.5420 300.0 188
31.1078 296.0 188
31.5417 295.0 188
33.7500 269.0 188
34.3103 264.0 188
34.7937 260.0 188
35.3540 255.0 188
35.8429 252.0 188
36.3428 249.0 188
36.8866 244.0 188
37.4524 241.0 188
37.9523 238.0 188
38.4961 234.0 188
38.9960 231.0 188
39.4794 228.0 188
40.0452 224.0 188
40.5890 221.0 188
41.0889 219.0 188
41.5887 216.0 188
42.1381 213.0 188
42.6874 210.0 188
43.1873 208.0 188
43.6871 206.0 188
44.1870 204.0 188
44.6704 202.0 188
45.1703 200.0 188
45.7141 197.0 188
46.2140 196.0 188
46.7798 193.0 188
47.2632 191.0 188
47.7631 190.0 188
48.2629 188.0 188
48.8123 185.0 188
49.3726 183.0 188
49.8560 181.0 188
50.3558 180.0 188
50.9052 178.0 188
51.4050 176.0 188
51.9653 174.0 188
52.4487 173.0 188
52.9486 171.0 188
53.4485 170.0 188
53.9978 168.0 188
54.4977 167.0 188
54.9976 166.0 188
55.4974 164.0 188
56.0468 162.0 188
56.5466 161.0 188
57.0905 159.0 188
57.5299 159.0 188
57.9803 159.0 188
58.4198 159.0 188
58.9032 158.0 188
59.4031 157.0 188
59.8425 157.0 188
60.3424 156.0 188
60.8423 155.0 188
61.2762 155.0 188
61.7761 154.0 188
62.2156 154.0 188
62.7155 153.0 188
63.2153 152.0 188
63.6548 152.0 188
64.0887 152.0 188
64.5886 151.0 188
65.0281 151.0 188
65.5280 150.0 188
66.0773 149.0 188
66.5112 149.0 188
66.9672 149.0 188
67.4506 148.0 188
67.9010 148.0 188
68.3405 148.0 188
68.8403 147.0 188
69.2798 147.0 188
69.7137 147.0 188
70.1697 147.0 188
70.6531 146.0 188
71.1090 146.0 188
71.5430 146.0 188
71.9824 146.0 188
72.4329 146.0 188
72.8723 146.0 188
73.3118 146.0 188
73.8116 145.0 188
74.2456 145.0 188
74.7015 145.0 188
75.1355 145.0 188
75.5750 145.0 188
76.0144 145.0 188
76.4648 145.0 188
76.9043 145.0 188
77.3438 145.0 188
77.7942 145.0 188
78.2336 145.0 188
78.7335 144.0 188
79.1675 144.0 188
79.6069 144.0 188
79.9969 145.0 188
80.4364 145.0 188
80.8868 145.0 188
81.3263 145.0 188
81.7163 146.0 188
82.1558 146.0 188
82.6556 145.0 188
83.0896 145.0 188
83.5291 145.0 188
83.9191 146.0 188
84.3585 146.0 188
84.7925 146.0 188
85.2484 146.0 188
85.6824 146.0 188
86.1218 146.0 188
86.5778 146.0 188
87.0117 146.0 188
87.4017 147.0 188
87.8906 146.0 188
88.2806 147.0 188
88.6707 148.0 188
89.1046 148.0 188
89.5441 148.0 188
90.0439 147.0 188
90.4999 147.0 188
90.8734 148.0 188
91.3074 148.0 188
91.7633 148.0 188
92.2028 148.0 188
92.6367 148.0 188
93.0927 148.0 188
93.5266 148.0 188
93.9661 148.0 188
94.4055 148.0 188
94.8560 148.0 188
95.2954 148.0 188
95.6854 149.0 188
96.1249 149.0 188
96.5588 149.0 188
97.0148 149.0 188
97.4487 149.0 188
97.8882 149.0 188
98.3276 149.0 188
98.7781 149.0 188
99.2175 149.0 188
99.6515 149.0 188
99.9811 150.0 188
100.4370 150.0 188
100.8710 150.0 188
101.3104 150.0 188
101.7499 150.0 188
102.1399 151.0 188
102.5739 151.0 188
103.0298 151.0 188
103.4637 151.0 188
103.9032 151.0 188
104.3427 151.0 188
104.7327 152.0 188
105.1666 152.0 188
105.5621 153.0 188
105.9961 153.0 188
106.4520 153.0 188
106.8256 154.0 188
107.2760 154.0 188
107.6550 155.0 188
108.1055 155.0 188
108.5449 155.0 188
108.9349 156.0 188
109.3744 156.0 188
109.7479 157.0 188
110.1984 157.0 188
110.6378 157.0 188
111.0114 158.0 188
111.4673 158.0 188
111.9012 158.0 188
112.3407 158.0 188
112.7307 159.0 188
113.1042 160.0 188
113.4998 161.0 188
113.8898 162.0 188
114.3237 162.0 188
114.7028 163.0 188
115.0928 164.0 188
115.5267 165.0 188
115.9662 165.0 188
116.3562 166.0 188
116.7462 167.0 188
117.1198 168.0 188
117.5153 169.0 188
117.8888 170.0 188
118.2788 171.0 188
118.6688 172.0 188
119.1083 173.0 188
119.4818 174.0 188
119.8718 175.0 188
120.2618 176.0 188
120.6354 177.0 188
121.0913 178.0 188
121.5308 178.0 188
121.9043 179.0 188
122.3547 179.0 188
122.7338 180.0 188
123.1238 181.0 188
123.5577 182.0 188
123.9478 183.0 188
124.3268 184.0 188
124.7168 185.0 188
125.1562 186.0 188
125.5902 186.0 188
125.9802 187.0 188
126.3702 188.0 188
126.8097 189.0 188
127.1393 191.0 188
127.5732 192.0 188
127.9688 193.0 188
128.3423 194.0 188
128.7762 194.0 188
129.2322 195.0 188
129.6057 196.0 188
129.9957 197.0 188
130.4352 198.0 188
130.8252 199.0 188
131.2646 199.0 188
131.6382 200.0 188
132.0282 202.0 188
132.4677 203.0 188
132.8577 204.0 188
133.2477 205.0 188
133.6871 206.0 188
134.0607 207.0 188
134.5111 208.0 188
134.8901 209.0 188
135.2802 211.0 188
135.6537 212.0 188
136.1041 213.0 188
136.4832 214.0 188
136.9336 215.0 188
137.3071 217.0 188
137.7026 218.0 188
138.0762 220.0 188
138.5266 221.0 188
138.9056 223.0 188
139.2957 224.0 188
139.7296 225.0 188
140.1196 227.0 188
140.4987 229.0 188
140.8887 231.0 188
141.2787 234.0 188
141.6522 236.0 188
141.9818 239.0 188
142.4213 241.0 188
142.8113 242.0 188
143.2013 244.0 188
143.5748 246.0 188
144.0143 247.0 188
144.4043 249.0 188
144.7943 251.0 188
145.1678 254.0 188
145.9973 258.0 188
146.3269 262.0 188
146.7169 265.0 188
147.1509 267.0 188
149.0735 282.0 188
149.4031 288.0 188
149.7931 291.0 188
150.1831 293.0 188
150.6226 296.0 188
151.8420 301.0 188
152.1716 309.0 188
152.4957 317.0 188
152.9352 316.0 188
153.4790 310.0 188
153.9349 308.0 188
154.3744 308.0 188
154.8743 307.0 188
155.3082 305.0 188
155.7477 305.0 188
156.1871 304.0 188
156.6870 303.0 188
157.1210 303.0 188
157.5604 302.0 188
158.0109 301.0 188
158.4503 300.0 188
158.9502 299.0 188
159.3896 298.0 188
159.8236 297.0 188
160.2631 297.0 188
160.7135 297.0 188
161.1530 298.0 188
165.2948 287.0 188
165.7343 288.0 188
166.1682 288.0 188
166.6077 287.0 188
167.0581 287.0 188
167.4976 287.0 188
167.9370 286.0 188
168.4369 285.0 188
168.8708 285.0 188
169.3103 284.0 188
169.7607 284.0 188
170.2002 284.0 188
170.6396 283.0 188
171.0736 284.0 188
171.5131 283.0 188
172.0129 282.0 188
172.4524 281.0 188
173.0127 276.0 188
173.5126 272.0 188
173.9960 268.0 188
174.9957 263.0 188
179.0771 309.0 188
179.6210 303.0 188
180.1208 298.0 188
180.6207 295.0 188
181.1041 291.0 188
181.6040 287.0 188
182.1094 284.0 188
182.6093 282.0 188
183.0432 282.0 188
183.4827 282.0 188
183.8727 283.0 188
184.3121 283.0 188
184.7461 283.0 188
185.2020 283.0 188
185.6360 283.0 188
186.0754 284.0 188
186.5149 285.0 188
186.9489 285.0 188
187.3389 286.0 188
187.7783 286.0 188
188.2343 286.0 188
188.6682 287.0 188
189.1077 287.0 188
189.5416 288.0 188
189.9811 288.0 188
190.4370 289.0 188
190.8105 290.0 188
191.2610 290.0 188
191.7004 290.0 188
192.1399 291.0 188
193.0298 292.0 188
196.0455 294.0 188
196.4355 297.0 188
196.8750 298.0 188
197.3254 298.0 188
197.7649 299.0 188
198.1384 301.0 188
198.5889 302.0 188
199.0283 302.0 188
199.4678 302.0 188
199.8578 304.0 188
200.2917 306.0 188
200.7312 307.0 188
201.1212 309.0 188
201.5607 310.0 188
201.9946 310.0 188
202.3901 312.0 188
202.8241 313.0 188
203.2635 314.0 188
203.6536 316.0 188
204.0930 317.0 188
204.5270 319.0 188
204.9170 320.0 188
205.3564 321.0 188
205.7959 322.0 188
206.2463 323.0 188
206.6199 324.0 188
207.0758 326.0 188
207.5153 326.0 188
207.8888 328.0 188
208.3392 329.0 188
208.8281 326.0 188
209.2786 326.0 188
209.7180 326.0 188
210.2179 321.0 188
210.7617 315.0 188
211.2616 311.0 188
211.7615 306.0 188
212.2449 301.0 188
212.7448 297.0 188
213.3105 291.0 188
213.7939 287.0 188
214.2938 285.0 188
214.7937 281.0 188
215.2936 277.0 188
215.7935 274.0 188
216.3428 270.0 188
217.2162 268.0 188
217.8864 258.0 188
218.3862 255.0 188
218.8696 252.0 188
219.4354 248.0 188
219.8749 246.0 188
220.3748 244.0 188
220.9186 241.0 188
221.3580 239.0 188
221.8579 238.0 188
222.3578 236.0 188
222.8577 233.0 188
223.2916 232.0 188
