#RPLIDAR SCAN DATA
#COUNT=994
#Angule	Distance	Quality
7.1246 221.0 188
7.9651 209.0 188
8.2782 207.0 188
8.5309 207.0 188
8.7946 207.0 188
9.0417 208.0 188
9.2944 208.0 188
9.5581 208.0 188
9.7614 209.0 188
10.0580 208.0 188
10.2612 209.0 188
10.5304 209.0 188
10.7776 210.0 188
11.0303 210.0 188
11.2939 210.0 188
11.5466 210.0 188
11.7938 210.0 188
11.9971 211.0 188
12.2003 212.0 188
12.4530 212.0 188
12.7002 212.0 188
12.9639 212.0 188
13.2166 212.0 188
13.4637 213.0 188
13.6670 214.0 188
13.9362 214.0 188
14.1833 214.0 188
14.4360 214.0 188
14.6997 214.0 188
14.9524 215.0 188
15.1996 215.0 188
15.4523 215.0 188
15.6555 216.0 188
15.9192 216.0 188
16.1719 217.0 188
16.4191 217.0 188
16.6718 217.0 188
16.8750 218.0 188
17.1387 218.0 188
17.3859 219.0 188
17.6385 219.0 188
17.9022 219.0 188
18.0890 220.0 188
18.3582 220.0 188
18.6053 220.0 188
18.8580 220.0 188
19.1217 221.0 188
19.3744 221.0 188
19.5776 222.0 188
19.8248 222.0 188
20.0775 222.0 188
20.3412 223.0 188
20.5884 223.0 188
20.7916 224.0 188
21.0443 224.0 188
21.2915 224.0 188
21.5607 225.0 188
21.7474 226.0 188
22.0111 226.0 188
22.2638 226.0 188
22.5110 227.0 188
22.7802 227.0 188
22.9669 228.0 188
23.2306 228.0 188
23.4833 228.0 188
23.6865 230.0 188
23.9337 230.0 188
24.1864 230.0 188
24.4501 230.0 188
24.7028 231.0 188
24.9500 231.0 188
25.1532 232.0 188
25.4059 232.0 188
25.6696 233.0 188
25.9167 234.0 188
26.1694 234.0 188
26.3727 235.0 188
27.1362 236.0 188
27.3395 237.0 188
27.6526 236.0 188
27.9053 236.0 188
28.2184 234.0 188
28.4656 233.0 188
28.7292 232.0 188
29.0424 231.0 188
29.2950 230.0 188
29.6082 229.0 188
29.9213 227.0 188
30.1685 226.0 188
30.4816 224.0 188
30.7947 223.0 188
31.0419 222.0 188
31.3550 221.0 188
31.6077 220.0 188
31.9208 219.0 188
32.1844 218.0 188
32.4811 217.0 188
32.7448 216.0 188
33.0579 215.0 188
33.3105 214.0 188
33.6237 212.0 188
33.8708 212.0 188
34.1840 211.0 188
34.4366 211.0 188
34.7498 210.0 188
35.0574 208.0 188
35.3705 206.0 188
35.6396 205.0 188
35.9363 204.0 188
36.2494 203.0 188
36.5131 203.0 188
36.8262 201.0 188
37.0734 200.0 188
37.3865 199.0 188
37.6996 198.0 188
37.9523 198.0 188
38.1995 197.0 188
38.5126 196.0 188
38.8257 195.0 188
39.0894 194.0 188
39.3420 194.0 188
39.6991 192.0 188
39.9683 192.0 188
40.2155 191.0 188
40.5286 190.0 188
40.8417 189.0 188
41.0889 188.0 188
41.4020 187.0 188
